eventID,parentEventID,habitat,decimalLatitude,decimalLongitude,minimumElevationInMeters,samplingProtocol,sampleSizeValue,sampleSizeUnit,eventDate,country,countryCode,stateProvince,municipality,locality,geodeticDatum,coordinateUncertaintyInMeters,coordinatePrecision
BogFungi_Plot_036_001,BogFungi_Plot_036,"Raised bog community with Pinus sylvestris, dwarfshrubs and dominating S. fuscum.",60.89153,68.68654,35,Plot-based fruitbodies count,5,square metre,2014-06-14,Russia,RU,Khanty-Mansiyskiy Avtonomnyy Okrug-Yugra,Khanty-Mansiysk,"Mukhrino Field Station of Yugra State University, 30 km to the SW from Khanty-Mansiysk",WGS84,3,0.00001
BogFungi_Plot_037_001,BogFungi_Plot_037,"Raised bog community with Pinus sylvestris, dwarfshrubs and dominating S. fuscum.",60.89155,68.68647,35,Plot-based fruitbodies count,5,square metre,2014-06-14,Russia,RU,Khanty-Mansiyskiy Avtonomnyy Okrug-Yugra,Khanty-Mansiysk,"Mukhrino Field Station of Yugra State University, 30 km to the SW from Khanty-Mansiysk",WGS84,3,0.00001
BogFungi_Plot_038_001,BogFungi_Plot_038,Graminoid-Sphagnum community of waterlogged lawns of raised bog.,60.89153,68.68636,35,Plot-based fruitbodies count,5,square metre,2014-06-14,Russia,RU,Khanty-Mansiyskiy Avtonomnyy Okrug-Yugra,Khanty-Mansiysk,"Mukhrino Field Station of Yugra State University, 30 km to the SW from Khanty-Mansiysk",WGS84,3,0.00001
BogFungi_Plot_039_001,BogFungi_Plot_039,"Raised bog community with Pinus sylvestris, dwarfshrubs and dominating S. fuscum.",60.89144,68.68626,35,Plot-based fruitbodies count,5,square metre,2014-06-14,Russia,RU,Khanty-Mansiyskiy Avtonomnyy Okrug-Yugra,Khanty-Mansiysk,"Mukhrino Field Station of Yugra State University, 30 km to the SW from Khanty-Mansiysk",WGS84,3,0.00001
BogFungi_Plot_040_001,BogFungi_Plot_040,Graminoid-Sphagnum community of waterlogged lawns of raised bog.,60.89146,68.68617,35,Plot-based fruitbodies count,5,square metre,2014-06-14,Russia,RU,Khanty-Mansiyskiy Avtonomnyy Okrug-Yugra,Khanty-Mansiysk,"Mukhrino Field Station of Yugra State University, 30 km to the SW from Khanty-Mansiysk",WGS84,3,0.00001
BogFungi_Plot_041_001,BogFungi_Plot_041,Graminoid-Sphagnum community of waterlogged lawns of raised bog.,60.89148,68.68606,35,Plot-based fruitbodies count,5,square metre,2014-06-14,Russia,RU,Khanty-Mansiyskiy Avtonomnyy Okrug-Yugra,Khanty-Mansiysk,"Mukhrino Field Station of Yugra State University, 30 km to the SW from Khanty-Mansiysk",WGS84,3,0.00001
BogFungi_Plot_042_001,BogFungi_Plot_042,Graminoid-Sphagnum community of waterlogged lawns of raised bog.,60.89150,68.68597,35,Plot-based fruitbodies count,5,square metre,2014-06-14,Russia,RU,Khanty-Mansiyskiy Avtonomnyy Okrug-Yugra,Khanty-Mansiysk,"Mukhrino Field Station of Yugra State University, 30 km to the SW from Khanty-Mansiysk",WGS84,3,0.00001
BogFungi_Plot_043_001,BogFungi_Plot_043,Graminoid-Sphagnum community of waterlogged lawns of raised bog.,60.89152,68.68586,35,Plot-based fruitbodies count,5,square metre,2014-06-14,Russia,RU,Khanty-Mansiyskiy Avtonomnyy Okrug-Yugra,Khanty-Mansiysk,"Mukhrino Field Station of Yugra State University, 30 km to the SW from Khanty-Mansiysk",WGS84,3,0.00001
BogFungi_Plot_044_001,BogFungi_Plot_044,Graminoid-Sphagnum community of waterlogged lawns of raised bog.,60.89154,68.68578,35,Plot-based fruitbodies count,5,square metre,2014-06-14,Russia,RU,Khanty-Mansiyskiy Avtonomnyy Okrug-Yugra,Khanty-Mansiysk,"Mukhrino Field Station of Yugra State University, 30 km to the SW from Khanty-Mansiysk",WGS84,3,0.00001
BogFungi_Plot_045_001,BogFungi_Plot_045,Graminoid-Sphagnum community of waterlogged lawns of raised bog.,60.89154,68.68565,35,Plot-based fruitbodies count,5,square metre,2014-06-14,Russia,RU,Khanty-Mansiyskiy Avtonomnyy Okrug-Yugra,Khanty-Mansiysk,"Mukhrino Field Station of Yugra State University, 30 km to the SW from Khanty-Mansiysk",WGS84,3,0.00001
